Imie;Nazwisko;Matematyka;Polski;Angielski;Biologia;Historia
Ewa;Pawlak;4;2;3;5;4
Oskar;Kwiatkowski;2;3;3;2;2
Kamil;Dabrowski;3;4;4;4;2
Roksana;Olszewska;5;6;3;5;3
Magdalena;Dudek;4;4;4;3;2
Grzegorz;Lewandowski;4;4;3;4;3
Filip;Kaminski;4;5;4;3;4
Marcin;Jankowski;3;3;2;2;5
Lukasz;Kozlowski;4;3;5;5;4
Anna;Krawczyk;6;4;4;2;4
Jakub;Wozniak;3;5;6;5;4
Patrycja;Majewska;3;3;4;4;4
Weronika;Stepien;3;2;3;5;5
Karolina;Adamczyk;4;4;3;3;2
Beata;Piotrowska;5;3;2;3;3
Sandra;Jaworska;3;5;3;5;5
Bartek;Nowak;5;6;4;6;2
Norbert;Mazur;3;6;4;4;3
Dorota;Nowicka;4;2;4;1;3
Cezary;Wisniewski;3;6;3;4;6
Celina;Grabowska;4;3;4;3;6
Urszula;Wieczorek;6;3;5;6;3
Emil;Kowalczyk;2;2;2;1;2
Oliwia;Krol;3;3;5;3;6
Hubert;Zielinski;4;4;6;6;4
Igor;Szymanski;5;4;3;5;3
Natalia;Zajac;4;5;4;5;6
Adam;Kowalski;3;4;4;3;4
Dawid;Wojcik;4;2;2;1;1
Joanna;Michalska;2;4;3;2;4
